id,happiness,stressLevel,number,satisfaction,timeSeries1,timeSeries4,backnumber,income,appreciation,amount,measurement2,color,timeSeries3,province,measurement4,measurement3,weight,visibility,totalAmount,amountRain,size,cpuType,timeSeries2,result,RichterScale,civilState,measurement1,sick,date
1119,"4","9",11,"1",22.25,35.06,"3",2530.17,"9",1739.55,-8217,"red",26.32,"Flemish Brabant",165,-2833,81,"excellent",8527.9,4.83,"large","i7",40.32,"C (good)","magnitude 2","divorced",52,"No",2019-01-01
1120,"4","4",12,"1",-0.9851,16.39,"11",2717.34,"10",1554.49,-12684,"violet",18.65,"Walloon Brabant",189,-2095,59.3,"bad",8559.68,4.68,"small","i7",25.15,"C (good)","magnitude 5","de facto cohabiting",53,"No",2019-01-02
1121,"5","8",11,"3",-9.429,29.29,"5",2410.36,"2",1388.87,-9256,"green",42.46,"Walloon Brabant",162,-1867,74.2,"good",8069.77,5.2,"large","i3",22.86,"B (very good)","magnitude 2","widow(er)",49,"Yes",2019-01-03
1122,"2","5",9,"3",32.46,3.883,"2",2899.1,"7",1425.26,-11568,"violet",5.457,"Flemish Brabant",154,-1702,64.7,"excellent",8369.36,5.17,"small","i3",53.79,"E (insufficient)","magnitude 7","divorced",50,"No",2019-01-04
1123,"4","8",10,"1",22.03,34.21,"10",2034.64,"8",1543.43,-8829,"red",38.64,"West Flanders",167,-2963,66.1,"excellent",8509.07,5.03,"large","i3",35.7,"D (could be better)","magnitude 2","married",49,"No",2019-01-05
1124,"4","9",9,"3",38.1,42,"11",2417.56,"7",1759.32,-8863,"blue",26.04,"Walloon Brabant",102,-3261,78,"excellent",9096.04,4.69,"large","i5",17.87,"E (insufficient)","magnitude 1","married",45,"No",2019-01-06
1125,"3","7",11,"1",16.39,34.87,"3",2763.18,"5",1587.22,-11255,"indigo",53.41,"Flemish Brabant",148,-2292,77.4,"excellent",9638.59,5.27,"large","i3",13.59,"D (could be better)","magnitude 5","married",66,"No",2019-01-07
1126,"3","8",11,"1",11.45,34.34,"9",2878.31,"2",1587.82,-11805,"blue",17.03,"Namur",141,-2529,58.1,"bad",6743.19,4.45,"small","i7",61.65,"B (very good)","magnitude 5","widow(er)",55,"No",2019-01-08
1127,"2","6",12,"3",63.46,12.79,"11",2652.44,"1",1325.73,-9780,"green",43.93,"Namur",177,-1372,64.1,"excellent",10347.76,4.82,"large","i3",52.23,"A (excellent)","magnitude 6","single",57,"No",2019-01-09
1128,"3","6",10,"3",-20.75,47.51,"2",2486.06,"10",1558.08,-10476,"green",42.22,"East Flanders",189,-2666,72.5,"bad",10886.8,4.83,"large","i3",54.52,"B (very good)","magnitude 7","de facto cohabiting",56,"Yes",2019-01-10
