First Letter;Number Languages;Writing Hand;Shoe Size;Height;Blood Type;Resus Factor;Siblings;Internet Purchase;Mobile Devices;Leisure;Hours Math;Importance AI Study;Antwerp Address;Travel Distance;Travel Time;Driver License;Smoker;Fruit;Favorite Fruit;OS;App;Biden;Class Mascot;Study Load
B;3;Right;43;170;A;-;2;No;2;Sport (practicing/supporting);A lot;Great importance;No;57;51;No;No;1 or less;1=Orange,2=Banana,3=Kiwi,4=Cherry,5=Plum,6=Strawberry,7=Melon,8=Pineapple,9=Apple,10=Pear;Windows;Book reader App;4;1=Raccoon,2=Badger,3=Beaver,4=Otter,5=Bison,6=Panther,7=Cougar,8=Fox,9=Brown Bear,10=Wolf;>= 41 hours
R;2;Right;35;157;Unknown;Unknown;0;Yes;2;Gaming;3;Moderate importance;Yes;2;15;Yes;Yes;2;1=Strawberry,2=Orange,3=Banana,4=Apple,5=Cherry,6=Pineapple,7=Plum,8=Melon,9=Kiwi,10=Pear;Windows;Browser App;2;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
A;3;Right;42;182;B;-;1;No;2;Watching movie/TV series;4;Not at all;Yes;0.400;5;Yes;Yes;1 or less;1=Strawberry,2=Pineapple,3=Apple,4=Banana,5=Cherry,6=Kiwi,7=Melon,8=Pear,9=Plum,10=Orange;Other;Other App;1;1=Panther,2=Cougar,3=Fox,4=Wolf,5=Brown Bear,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;<= 10 hours
N;3;Right;39;166;Unknown;Unknown;1;Yes;2;Sport (practicing/supporting);100;Moderate importance;Yes;5;5;No;No;7 or more;1=Orange,2=Kiwi,3=Cherry,4=Melon,5=Pineapple,6=Strawberry,7=Banana,8=Plum,9=Pear,10=Apple;iOS;Social Netwerk App;4;1=Panther,2=Wolf,3=Raccoon,4=Beaver,5=Cougar,6=Fox,7=Brown Bear,8=Otter,9=Bison,10=Badger;21-25 hours
M;4;Right;37;160;Unknown;Unknown;1;No;3;Other;5,5;Moderate importance;Yes;3;30;No;Yes;1 or less;1=Melon,2=Strawberry,3=Pineapple,4=Cherry,5=Banana,6=Kiwi,7=Plum,8=Pear,9=Orange,10=Apple;Windows;Browser App;4;1=Panther,2=Cougar,3=Brown Bear,4=Bison,5=Otter,6=Fox,7=Wolf,8=Raccoon,9=Beaver,10=Badger;>= 41 hours
R;2;Right;48;193;A;+;1;Yes;3;Sport (practicing/supporting);100;Great importance;No;2;20;Yes;No;2;1=Strawberry,2=Plum,3=Pear,4=Orange,5=Melon,6=Cherry,7=Pineapple,8=Banana,9=Apple,10=Kiwi;Windows;Social Netwerk App;4;1=Panther,2=Brown Bear,3=Fox,4=Badger,5=Wolf,6=Bison,7=Beaver,8=Cougar,9=Otter,10=Raccoon;21-25 hours
I;6;Right;44;196;Unknown;Unknown;1;Yes;3;Gaming;300;Moderate importance;Yes;2.33;11;No;Yes;1 or less;1=Strawberry,2=Pineapple,3=Apple,4=Banana,5=Cherry,6=Kiwi,7=Melon,8=Pear,9=Plum,10=Orange;Windows;Browser App;4;1=Raccoon,2=Otter,3=Cougar,4=Panther,5=Fox,6=Wolf,7=Brown Bear,8=Beaver,9=Badger,10=Bison;26-30 hours
A;6;Right;43;181;AB;+;3;Yes;3;Watching movie/TV series;150;Great importance;No;40;90;Yes;No;1 or less;1=Banana,2=Strawberry,3=Cherry,4=Kiwi,5=Pineapple,6=Pear,7=Orange,8=Melon,9=Plum,10=Apple;Windows;Browser App;8;1=Fox,2=Wolf,3=Panther,4=Brown Bear,5=Cougar,6=Beaver,7=Badger,8=Bison,9=Raccoon,10=Otter;16-20 hours
V;8;Right;42;165;O;+;1;Yes;5;Music (play/listen);0;Great importance;Yes;5.5;5.5;No;No;7 or more;1=Kiwi,2=Strawberry,3=Cherry,4=Pineapple,5=Apple,6=Banana,7=Orange,8=Plum,9=Melon,10=Pear;iOS;GPS App;4;1=Otter,2=Panther,3=Fox,4=Cougar,5=Wolf,6=Beaver,7=Brown Bear,8=Bison,9=Badger,10=Raccoon;11-15 hours
O;3;Right;43;180;Unknown;Unknown;1;Yes;3;Gaming;4.5;Very great importance;Yes;3.7;15;No;No;1 or less;1=Banana,2=Orange,3=Strawberry,4=Pear,5=Apple,6=Pineapple,7=Cherry,8=Kiwi,9=Plum,10=Melon;Windows;GPS App;4;1=Panther,2=Otter,3=Beaver,4=Fox,5=Bison,6=Badger,7=Brown Bear,8=Cougar,9=Raccoon,10=Wolf;16-20 hours
A;4;Right;46;186;O;-;3;Yes;3;Sport (practicing/supporting);75;Great importance;Yes;1.3;18;Yes;Yes;2;1=Banana,2=Apple,3=Strawberry,4=Plum,5=Cherry,6=Pear,7=Kiwi,8=Pineapple,9=Orange,10=Melon;Windows;Browser App;4;1=Brown Bear,2=Raccoon,3=Wolf,4=Panther,5=Otter,6=Badger,7=Fox,8=Bison,9=Beaver,10=Cougar;31-35 hours
S;2;Right;43;180;A;+;1;No;3;Gaming;75;Very great importance;Yes;1.3;15;No;Yes;7 or more;1=Orange,2=Kiwi,3=Cherry,4=Strawberry,5=Pineapple,6=Plum,7=Banana,8=Pear,9=Apple,10=Melon;Windows;Comics/Manga reader App;4;1=Otter,2=Brown Bear,3=Panther,4=Cougar,5=Fox,6=Wolf,7=Beaver,8=Badger,9=Bison,10=Raccoon;36-40 hours
A;3;Right;38;166;Unknown;Unknown;5;Yes;5;Gaming;432;Great importance;Yes;21;30;No;No;3;1=Strawberry,2=Kiwi,3=Plum,4=Melon,5=Cherry,6=Orange,7=Apple,8=Banana,9=Pineapple,10=Pineapple;Windows;Browser App;4;1=Fox,2=Raccoon,3=Panther,4=Beaver,5=Otter,6=Badger,7=Wolf,8=Cougar,9=Brown Bear,10=Bison;>= 41 hours
M;2;Right;43;178;Unknown;Unknown;1;Yes;2;Gaming;6;Moderate importance;No;49;120;No;No;1 or less;1=Pineapple,2=Apple,3=Banana,4=Melon,5=Strawberry,6=Orange,7=Kiwi,8=Cherry,9=Plum,10=Pear;Windows;GPS App;3;1=Wolf,2=Panther,3=Fox,4=Brown Bear,5=Cougar,6=Badger,7=Beaver,8=Bison,9=Raccoon,10=Otter;26-30 hours
E;4;Right;38;169;A;-;1;Yes;2;Music (play/listen);500;Great importance;Yes;8;40;No;Yes;2;1=Banana,2=Cherry,3=Strawberry,4=Orange,5=Melon,6=Pear,7=Plum,8=Pineapple,9=Apple,10=Kiwi;Windows;Browser App;3;1=Fox,2=Panther,3=Wolf,4=Cougar,5=Otter,6=Brown Bear,7=Raccoon,8=Badger,9=Beaver,10=Bison;21-25 hours
